,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,weight
396,16744.5,596.8010774850845,248.54808044433594,142.55667114257812,92.3534164428711,250.35987854003906,106.89768981933594,135.0,76.0,225.0,125.0,16744.5,4149893.6666666665,2394318.0,1088852747.25,609238644.125,355772192.25,299908615277.2,163301569374.05,92562347035.81667,54658764177.9,60358767.45722556,15839909.962379456,13405523.485689342,133282878.95172119,-246318956.86600494,-140828960.89865017,-47314604.15099335,0.21527618831033032,0.05649478250688948,0.04781227516530979,0.0036736172490603692,-0.006789180844760162,-0.003881606579881343,-0.0013041115806368007,53.8
397,17609.5,627.9726504087448,231.15139770507812,133.61929321289062,93.40503692626953,259.506103515625,105.88573455810547,113.0,68.0,235.0,125.0,17609.5,4076212.1666666665,2367067.833333333,1011900256.9166666,565129231.875,332519336.9166666,266111570908.45,143810949465.31665,81471571287.65,48493331116.950005,68346741.61632538,17205060.174574733,14338234.239057362,237367884.2972107,-173803078.0743866,-124752049.82407522,-58585319.34366608,0.22040617864968784,0.05548328240435331,0.04623827475134368,0.005768387095937539,-0.004223669245596833,-0.0030316574482161683,-0.0014237090291888087,53.8
398,17852.5,650.256921172142,244.8260040283203,135.8850860595703,88.6407699584961,281.4367370605469,106.31612396240234,120.0,68.0,246.0,132.0,17852.5,4360769.0,2435726.1666666665,1143599545.9166665,615331594.375,346848993.75,317862415613.0,165831065172.1,90182804410.16667,51236874492.05,78409445.29428864,20365110.124120235,14527920.567829847,213660259.93823242,-146272455.62954712,-97884729.10958481,-50129709.46317291,0.246019934177714,0.06389820809793312,0.04558325911402538,0.005017370223109827,-0.003434906723173551,-0.0022986208351219958,-0.0011771927621279832,53.8
399,16977.5,616.2325359582901,238.22157287597656,132.33042907714844,85.83385467529297,278.0899963378906,98.46290588378906,128.0,78.0,231.0,108.0,16977.5,4084420.6666666665,2248839.0,1053628200.75,550509554.0416666,307301669.4166666,287744660779.7,144215084044.95,76439946502.15,43193490766.600006,71004599.96697664,9487348.910993695,9420541.575641751,100065922.203125,86629486.01556969,-3601131.0057344437,-7365751.8600997925,0.24634230838094967,0.03291526791555263,0.032683487534914867,0.0026644149040227962,0.002306648343270952,-9.588586115801379e-05,-0.00019612490049854985,53.8
400,16515.5,600.6589421033859,180.0665740966797,141.8416290283203,87.73428344726562,257.2534484863281,104.38420867919922,67.0,79.0,228.0,120.0,16515.5,2977363.5,2351811.333333333,598371203.5833333,437534940.4583333,346208534.0833333,130264042383.05,90018764065.36667,66216836418.6,52492320843.100006,61621277.08203143,13557632.913723826,11310011.628965676,173735494.67608643,-77701733.12747955,-57793005.1268003,-28958029.000099182,0.22591613114637116,0.04970503891527296,0.04146480227981928,0.004956318869764893,-0.0022166717677995097,-0.0016487164144806513,-0.0008261134308333477,53.8
401,20898.5,705.7127648591995,208.91334533691406,94.56263732910156,90.03643035888672,327.9739990234375,76.47148895263672,65.0,30.0,280.0,131.0,20898.5,4361053.833333333,1968374.5,1027279188.0833333,385324178.125,202255539.41666666,263573591419.75,86290943821.11667,37337926684.416664,22256285992.350002,117223895.25220382,-25431960.2897467,16859545.81663555,279131214.9433594,148404290.41470146,-77584057.84977865,30458951.863567352,0.2684021049432912,-0.05823037751745312,0.03860251850390348,0.004421001039889071,0.0023504914073495084,-0.0012288099003985842,0.0004824220676647974,66.6
402,20862.0,705.6122596263885,209.53099060058594,94.2935562133789,94.48237609863281,315.9685974121094,76.37745666503906,70.0,32.0,275.0,138.0,20862.0,4372621.833333333,1946369.0,1030843131.5,383105884.4166666,198948097.0,264437006053.85,86104340076.38333,36866511577.78333,21879202118.9,114352780.75015068,-24848079.015562594,17357056.631818622,438822027.41049194,345610837.8231716,-195981530.80810976,79140642.11803436,0.26274523448751647,-0.057092746714860525,0.03988083092360023,0.006980693451564592,0.0054979084040490045,-0.0031176351761850185,0.0012589535795321165,66.6
403,20610.5,706.6000670194626,209.97671508789062,102.10203552246094,90.4019546508789,322.726806640625,75.72024536132812,69.0,34.0,277.0,132.0,20610.5,4344957.833333333,2109027.1666666665,1030869271.0833333,418051125.7083333,233067051.0833333,265883331377.35,94020353855.08333,43811838873.45,27342057388.75,114896413.87731254,-26558859.906820953,17254936.39722541,119586609.75933838,-268336142.90437698,113733772.74549961,-38501143.6167717,0.27047642557164747,-0.06252192955757284,0.0406196622043502,0.0019609261350344966,-0.004400052452816148,0.0018649540099978349,-0.0006313240161150122,66.6
404,20853.5,710.3990565538406,206.19554138183594,105.38026428222656,93.48617553710938,317.83660888671875,77.1557388305664,59.0,38.0,284.0,126.0,20853.5,4312302.166666666,2204471.0,1008814964.9166666,432761419.4583333,249352155.0833333,256977779024.25,96611040152.53333,46881096559.166664,29750750431.600002,117072572.67373264,-23101868.222575486,16312502.754419684,-54353546.88937378,-478602437.1657219,201784139.4825678,-57697703.61890793,0.2692137573463058,-0.05312380691634183,0.037511349225048764,-0.000865526758028089,-0.007621272934910799,0.003213213894270788,-0.0009187791637697533,66.6
405,20425.0,700.156415939331,214.67367553710938,88.61259460449219,93.851806640625,310.1401062011719,79.32989501953125,74.0,31.0,274.0,128.0,20425.0,4374386.833333333,1791319.1666666665,1048688596.6666666,364617542.75,171654526.0,272804757398.35,84163733869.3,33289233457.033333,17656096017.65,111833753.69775486,-19026177.05241388,14551742.310043573,306456839.1882324,340954613.4726944,-136440333.50322914,49159798.03520203,0.2680703441051579,-0.045606569222657156,0.034881155638624324,0.005140012260508395,0.005718622231335225,-0.0022884298777345784,0.0008245270860796557,66.6
